File Path,Line Number,Defect Type,Category,Description
src/products/routes.py,74:87,No ownership check on update | update_product doesn't verify ownership,OWASP:A01,Error
src/products/routes.py,90:102,No ownership check on delete | delete_product doesn't verify ownership,OWASP:A01,Error
src/products/routes.py,106:111,No limits inadd_product_review,OWASP:A04,Info
src/products/routes.py,106:111,No exeption handle for errors in add_review,OWASP:A09,Info
src/products/routes.py,129:135,No pagination in get_reviews,OWASP:A04,Info
src/products/services.py,15,SQL injection in search | f-string SQL in search_products,OWASP:A03,Error
src/products/services.py,21,SQL injection in filter | f-string SQL in filter_by_price,OWASP:A03,Error
src/products/services.py,31,Empty except clause | except: pass without error handling,OWASP:A09,Warning
src/products/services.py,50,Empty except on update \ except: pass silently,OWASP:A09,Warning
src/products/services.py,58:66,No access control | Any user can delete products,OWASP:A01,"Info "
src/products/services.py,73:83,No authorization check |add_review no user validation,OWASP:A04,Warning
src/products/services.py,66,product data dont have a type,STYLE,Info
src/products/services.py,73:83,No rating check,OWASP:A04,Info
src/products/schemas.py,25,is_active allows user to deactivate other's products,OWASP:A01,Error
src/products/schemas.py,12,price cn be negative,OWASP:A04,warning
src/products/schemas.py,13,stock can be negative,OWASP:A04,warning
src/products/schemas.py,39,rating isn't limited,OWASP:A04,Info
src/products/schemas.py,40,"Comment isn't limited, possible Dos attack",OWASP:A04,Warning
src/products/schemas.py,10:11,Name and description dont have validation,OWASP:A03,Info
src/products/schemas.py,35,Using orm_mode = True not from_attributes = True,STYLE,Info
src/products/schemas.py,12,"Price in ProductBase is float, but Decimal is better",OWASP:A05,Error
src/products/models.py,27:36,No ForeignKey in Review model,OWASP:A01,Error
src/products/models.py,17,Price in ProductBase is float,OWASP:A05,Error
src/products/models.py,18,stock can be negative,OWASP:A01,Warning
src/products/models.py,34,rating isn't limited,OWASP:A04,Warning
src/products/models.py,15,No limit for name length,OWASP:A04,Warning
src/products/models.py,35,Comment isn't limited possible Dos attack,OWASP:A04,Warning
src/orders/models.py,8,No ForeignKey for user_id,OWASP:A01,Error
src/orders/models.py,9,Float for total_price,OWASP:A01,Error
src/orders/models.py,10,Length of status isn't limited,OWASP:A05,Warniing
src/orders/models.py,5:11,No relationship to user model,SOLID:SRP / STYLE,Info
src/orders/schemas.py,24:34,No check if the product exists,OWASP:A04,Info
src/orders/schemas.py,6:8,No limit on max amount of product,OWASP:A04,Info
src/orders/services.py,14:51,Every user can create a product for another user,OWASP:A01,Error
src/orders/services.py,14:51,No stock check,OWASP:A04,Warning
src/orders/services.py,47,empty exept clause,OWASP:A09,Warning
src/orders/services.py,62:79,Using old PyYaAML,OWASP:A06,Warning
src/orders/services.py,83,Using yaml.load() instead of yaml.safe_load(),OWASP:A08,Error
src/orders/services.py,91:95,"Using pickle for serialization, wich is unsafe",OWASP:A06,Warning
src/orders/services.py,98:102,dserealization with pickle.loads() - RCE posibility,OWASP:A08,Error
src/orders/services.py,106,Using xml.etree.ElementTree without any defence - XXE-attack posibility,OWASP:A08,Error
src/orders/services.py,118,Using sys command through subprocess.run with shell=True,OWASP:A03,Error
src/orders/routes.py,17:22,Every user can get ID of every order,OWASP:A01,Error
src/orders/routes.py,20,current_user without type annotation,STYLE,Info
src/orders/routes.py,40:52,No check if total_price is positive,OWASP:A04,Info
src/orders/routes.py,56:67,Every user can export every order,OWASP:A01,Warning
src/orders/routes.py,66,Using vulnerable function export_order_to_yaml,OWASP:A06,Warning
src/orders/routes.py,71:81,Usin import_order_from_yaml with yaml.load() - RCE,OWASP:A08,Error
src/orders/routes.py,81,Error details leak in answer,OWASP:A05,Warning
src/orders/routes.py,85:94,Every user can export every order,OWASP:A01,Warning
src/orders/routes.py,85:94,Using vulnerable function export_order_to_pickle,OWASP:A06,Warning
src/orders/routes.py,98:108,Using import_order_from_pickle with pickle.loads() - RCE,OWASP:A08,Error
src/orders/routes.py,119,Using process_order_xml - XXE,OWASP:A08,Error
src/orders/routes.py,133,Using execute_order_script,OWASP:A08,Error
